"X","FIPS","STNAME","CTYNAME","RNETMIG2013","RNETMIG2014","RNETMIG2015","RNETMIG2016","elec12","elec16","elec18","elect14to16","medAge16","medAge12","pct_for_born15","pct_bach_deg15","pct_non_white15","pct_unemp12","pct_unemp16","votes_gop_16","votes_dem_16","votes_total_16","repratio","State...County.Name","Poverty","MedianIncome"
163,19063,"Iowa","Emmet County",-2.825001261,-6.091679781,-11.88707281,-12.35080436,-30.95767265,-33.154558212,-31.45449542,-18.848596126,42.4,41.6,4.2,16.22,3.45,4,4.1,3121,1356,4707,66.3055024431698,"Emmet County (IA)",10.9,"$48,035"
164,19065,"Iowa","Fayette County",-9.880130766,-7.939230581,-4.501830415,-12.05301325,-2.025269221,-34.374205012,-7.944624385,-21.462471716,43.9,43.3,1.24,18.47,3.88,4.6,3.9,5591,3666,9813,56.975440741873,"Fayette County (IA)",12.8,"$52,192"
165,19067,"Iowa","Floyd County",-1.120971509,-1.373840822,-5.452665225,-4.721881197,-14.506063283,-12.669358753,-6.768874468,-5.908380089,43.4,43.4,1.46,18.17,5.28,5.2,3.3,4371,3177,7985,54.7401377582968,"Floyd County (IA)",12.9,"$49,771"
166,19069,"Iowa","Franklin County",2.3789133124,-9.263238314,-12.04238921,-12.77487932,-17.816348979,-31.7015935316,-8.175041867,-23.08858796,43.8,43.4,3.39,16.7,7.9,3.8,3.2,3153,1490,4915,64.1505595116989,"Franklin County (IA)",11.6,"$52,860"
167,19071,"Iowa","Fremont County",-5.770990217,-3.688204837,-14.05723302,7.0686670514,-36.505602916,-16.4477610226,4.873266904,3.0967541494,45.5,46.3,0.99,21.49,3.18,4.7,3.3,2401,959,3554,67.55768148565,"Fremont County (IA)",11.6,"$53,861"
168,19073,"Iowa","Greene County",-0.763442033,-1.312838466,-18.82092444,7.8029205217,-13.167334955,-13.0942844173,-0.8886551908,6.7088884667,44.9,45.5,1.26,18.61,2.09,4.6,2.5,2819,1688,4762,59.1978160436791,"Greene County (IA)",11.2,"$48,769"
169,19075,"Iowa","Grundy County",-9.038453779,3.8812970001,2.9038112523,-8.667476711,-3.6122649958,-10.9208222376,1.7892245362,-4.7861797109,42.7,42.9,0.43,22.74,1.7,4.2,3.3,4516,1847,6766,66.7454921667159,"Grundy County (IA)",6.3,"$64,146"
170,19077,"Iowa","Guthrie County",-8.398656215,2.9031653868,-0.093733889,0.3756221241,-13.561796353,-5.2136025931,9.2670517287,2.6232340364,45.5,45.5,1.28,19.23,2.28,4.8,3.2,3603,1720,5654,63.724796604174,"Guthrie County (IA)",9.9,"$55,531"
171,19079,"Iowa","Hamilton County",2.41364689,-10.53768367,-1.182732111,-10.88534107,-20.939114672,-20.192109961,-9.985219086,-22.66660232,42.8,42.7,3.69,19.92,6.35,5.7,3.5,4450,2715,7589,58.6375016471208,"Hamilton County (IA)",9.3,"$58,920"
172,19081,"Iowa","Hancock County",-1.972563436,-5.773047086,-1.449997734,-13.14168378,-7.834541182,-22.337292036,-15.919414674,-19.546157891,44.7,45,1.79,18.12,2.91,3.9,2.7,3972,1582,5815,68.3061049011178,"Hancock County (IA)",8.8,"$57,222"
173,19083,"Iowa","Hardin County",4.2596056987,-1.728160373,-1.908231416,-2.439803654,-5.7192798638,-1.8165897443,-12.561455632,-4.916833522,44.1,43.9,3.08,18.24,4.22,5.2,3.6,5231,2774,8423,62.1037635046895,"Hardin County (IA)",11,"$50,616"
174,19085,"Iowa","Harrison County",-5.272102945,-7.965622052,-6.195874111,-5.037604654,-23.991011572,-24.471203762,4.9679434615,-12.863478951,43.7,43.3,0.93,17.39,2.36,4.4,3.1,4892,2123,7378,66.3052317701274,"Harrison County (IA)",10.9,"$55,325"
175,19087,"Iowa","Henry County",-0.049978759,-10.13700005,-0.453674766,-1.663599929,-6.4311103168,-12.304253504,9.532680917,-12.854446519,40.5,40.3,3,18.78,8.01,5.2,3.5,5764,2897,9286,62.0719362481154,"Henry County (IA)",12.4,"$50,684"
176,19089,"Iowa","Howard County",-12.11355138,-10.00532198,-6.536998339,-6.67923512,-3.140320729,-35.335106819,-7.91394873,-16.365238313,41.6,42,0.68,12.81,1.75,3.6,3,2611,1674,4507,57.9321056134901,"Howard County (IA)",9.8,"$49,916"
177,19091,"Iowa","Humboldt County",-3.814826271,-2.692765781,-7.088871514,-1.573234045,-3.7957759364,-15.169697611,2.3075533544,-4.887407314,43,43.6,2.23,17.61,2.04,3.6,2.5,3564,1251,5033,70.8126365984502,"Humboldt County (IA)",10,"$54,315"
178,19093,"Iowa","Ida County",4.9589118731,-14.81164993,-0.861388271,0.431189364,3.9721572499,-10.2829369639,-7.3632513147,-14.665299986,43.2,44.2,0.88,19.34,2.23,3.7,2.4,2655,792,3590,73.9554317548747,"Ida County (IA)",10.2,"$53,300"
179,19095,"Iowa","Iowa County",6.5935420261,1.5954346025,-3.436426117,-5.236731048,-12.054016341,-0.484180536400001,-3.1553213676,-3.5185707068,42.6,42.9,1.31,20.65,2.04,3.9,2.7,5193,3070,8789,59.0852201615656,"Iowa County (IA)",7.2,"$57,771"
180,19097,"Iowa","Jackson County",-7.24563731,-4.211499448,-1.443708268,0.2064569408,-3.945824028,-12.6943880852,1.4409048652,-4.1077620062,44.8,44,0.82,15.29,2.7,4.7,3.6,5821,3837,10204,57.046256370051,"Jackson County (IA)",13,"$49,769"
181,19099,"Iowa","Jasper County",2.2372890605,3.5320808031,-4.618184782,-2.832128317,-9.625360667,-1.6809432354,12.0260998782,0.7271223385,42.1,42.2,0.99,18.16,3.83,4.9,3.4,10556,7108,18776,56.2207072858969,"Jasper County (IA)",10.1,"$53,829"
